Afghanistan|1
Albania|2
Algeria|3
Andorra|4
Angola|5
Antigua and Barbuda|6
Argentina|7
Armenia|8
Australia|9
Austria|10
Azerbaijan|11
Bahamas|12
Bahrain|13
Bangladesh|14
Barbados|15
Belarus|16
Belgium|17
Belize|18
Benin|19
Bermuda|20
Bhutan|21
Bolivia, Plurinational State of|22
Bosnia and Herzegovina|23
Botswana|24
Brazil|25
Brunei Darussalam|26
Bulgaria|27
Burkina Faso|28
Burundi|29
Cambodia|30
Cameroon|31
Canada|32
Cape Verde|33
Cayman Islands|34
Central African Republic|35
Chad|36
Chile|37
China|38
Colombia|39
Congo|40
Congo, the Democratic Republic of the|41
Costa Rica|42
Côte d'Ivoire|43
Croatia|44
Cuba|45
Cyprus|46
Czech Republic|47
Denmark|48
Djibouti|49
Dominica|50
Dominican Republic|51
Ecuador|52
Egypt|53
El Salvador|54
Equatorial Guinea|55
Eritrea|56
Estonia|57
Ethiopia|58
Faroe Islands|59
Fiji|60
Finland|61
France|62
French Guiana|63
French Polynesia|64
Gabon|65
Gambia|66
Georgia|67
Germany|68
Ghana|69
Greece|70
Greenland|71
Grenada|72
Guadeloupe|73
Guam|74
Guatemala|75
Guinea|76
Guyana|77
Haiti|78
Holy See (Vatican City State)|79
Honduras|80
Hong Kong|81
Hungary|82
Iceland|83
India|84
Indonesia|85
Iran, Islamic Republic of|86
Iraq|87
Ireland|88
Israel|89
Italy|90
Jamaica|91
Japan|92
Jordan|93
Kazakhstan|94
Kenya|95
Korea, Democratic People's Republic of|96
Korea, Republic of|97
Kosovo|98
Kuwait|99
Kyrgyzstan|100
Lao People's Democratic Republic|101
Latvia|102
Lebanon|103
Lesotho|104
Liberia|105
Libya|106
Liechtenstein|107
Lithuania|108
Luxembourg|109
Macao|110
Macedonia, the Former Yugoslav Republic of|111
Madagascar|112
Malawi|113
Malaysia|114
Maldives|115
Mali|116
Malta|117
Martinique|118
Mauritania|119
Mauritius|120
Mexico|121
Moldova, Republic of|122
Monaco|123
Mongolia|124
Montenegro|125
Montserrat|126
Morocco|127
Mozambique|128
Myanmar|129
Namibia|130
Nepal|131
Netherlands|132
New Caledonia|133
New Zealand|134
Nicaragua|135
Niger|136
Nigeria|137
Niue|138
Norway|139
Oman|140
Pakistan|141
Palestine, State of|142
Panama|143
Papua New Guinea|144
Paraguay|145
Peru|146
Philippines|147
Poland|148
Portugal|149
Puerto Rico|150
Qatar|151
Réunion|152
Romania|153
Russian Federation|154
Rwanda|155
Saint Kitts and Nevis|156
Saint Lucia|157
Saint Vincent and the Grenadines|158
Samoa|159
San Marino|160
Saudi Arabia|161
Senegal|162
Serbia|163
Seychelles|164
Sierra Leone|165
Singapore|166
Slovakia|167
Slovenia|168
Solomon Islands|169
Somalia|170
South Africa|171
South Sudan|172
Spain|173
Sri Lanka|174
Sudan|175
Suriname|176
Swaziland|177
Sweden|178
Switzerland|179
Syrian Arab Republic|180
Taiwan, Province of China|181
Tajikistan|182
Tanzania, United Republic of|183
Thailand|184
Togo|185
Tonga|186
Trinidad and Tobago|187
Tunisia|188
Turkey|189
Turkmenistan|190
Turks and Caicos Islands|191
Uganda|192
Ukraine|193
United Arab Emirates|194
United Kingdom|195
United States|196
Uruguay|197
Uzbekistan|198
Venezuela, Bolivarian Republic of|199
Viet Nam|200
Virgin Islands, British|201
Yemen|202
Zambia|203
Zimbabwe|204
